calc_id,geom_id,mol_id,molecule_id,label,code,root,basis,method,omegaA,omegaB,omegaC,ijk,value
calc_49e8651fe0e15240,geom_b24261d06b7175b7,C32H34N2O2,geom_b24261d06b7175b7,n16,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n16,,,-0.0,0.0,0.0,xyx,-946.6498376593827
calc_49e8651fe0e15240,geom_b24261d06b7175b7,C32H34N2O2,geom_b24261d06b7175b7,n16,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n16,,,-0.0,0.0,0.0,xyy,2380.000850490411
calc_49e8651fe0e15240,geom_b24261d06b7175b7,C32H34N2O2,geom_b24261d06b7175b7,n16,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n16,,,-0.0,0.0,0.0,xyz,-0.001242797915206022
calc_49e8651fe0e15240,geom_b24261d06b7175b7,C32H34N2O2,geom_b24261d06b7175b7,n16,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n16,,,-0.0,0.0,0.0,xzx,0.00014902427552582697
calc_49e8651fe0e15240,geom_b24261d06b7175b7,C32H34N2O2,geom_b24261d06b7175b7,n16,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n16,,,-0.0,0.0,0.0,xzy,-0.0012427979178962845
calc_49e8651fe0e15240,geom_b24261d06b7175b7,C32H34N2O2,geom_b24261d06b7175b7,n16,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n16,,,-0.0,0.0,0.0,xzz,-0.5879154077270288
calc_49e8651fe0e15240,geom_b24261d06b7175b7,C32H34N2O2,geom_b24261d06b7175b7,n16,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n16,,,-0.0,0.0,0.0,yxx,-946.6592337653042
calc_49e8651fe0e15240,geom_b24261d06b7175b7,C32H34N2O2,geom_b24261d06b7175b7,n16,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n16,,,-0.0,0.0,0.0,yxy,2380.147103142062
calc_49e8651fe0e15240,geom_b24261d06b7175b7,C32H34N2O2,geom_b24261d06b7175b7,n16,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n16,,,-0.0,0.0,0.0,yxz,-0.0012466108815412345
calc_49e8651fe0e15240,geom_b24261d06b7175b7,C32H34N2O2,geom_b24261d06b7175b7,n16,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n16,,,-0.0,0.0,0.0,yyx,2380.1471031412225
calc_49e8651fe0e15240,geom_b24261d06b7175b7,C32H34N2O2,geom_b24261d06b7175b7,n16,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n16,,,-0.0,0.0,0.0,yyy,144985.5614288186
calc_49e8651fe0e15240,geom_b24261d06b7175b7,C32H34N2O2,geom_b24261d06b7175b7,n16,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n16,,,-0.0,0.0,0.0,yyz,0.01745611495108329
calc_49e8651fe0e15240,geom_b24261d06b7175b7,C32H34N2O2,geom_b24261d06b7175b7,n16,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n16,,,-0.0,0.0,0.0,yzx,-0.001246610885639156
calc_49e8651fe0e15240,geom_b24261d06b7175b7,C32H34N2O2,geom_b24261d06b7175b7,n16,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n16,,,-0.0,0.0,0.0,yzy,0.01745611497324391
calc_49e8651fe0e15240,geom_b24261d06b7175b7,C32H34N2O2,geom_b24261d06b7175b7,n16,madness,/home/ahurtado/Projects/gecko/tests/fixtures/calc_nlo_beta/NLO/madness/n16,,,-0.0,0.0,0.0,yzz,-27.988649957358795
